REGION,YEAR,WEEK,% WEIGHTED ILI
Region 6,2005,48,1.94761
Region 7,2005,48,0.587815
Region 8,2005,48,0.925362
Region 9,2005,48,2.78473
Region 10,2005,48,1.21331
National,2005,48,1.77482
Region 1,2005,49,1.09397
Region 2,2005,49,2.45659
Region 3,2005,49,2.18686
Region 4,2005,49,1.4307
Region 5,2005,49,1.35315
Region 6,2005,49,2.34115
Region 7,2005,49,0.350408
Region 8,2005,49,0.939631
Region 9,2005,49,3.69371
Region 10,2005,49,0.969897
National,2005,49,1.94451
Region 1,2005,50,0.995161
Region 2,2005,50,2.34526
Region 3,2005,50,2.21334
Region 4,2005,50,1.4822
Region 5,2005,50,1.48577
Region 6,2005,50,3.10523
Region 7,2005,50,0.386244
Region 8,2005,50,1.75227
Region 9,2005,50,5.29139
Region 10,2005,50,1.57161
National,2005,50,2.35512
Region 1,2005,51,0.949622
Region 2,2005,51,2.63895
Region 3,2005,51,2.45602
Region 4,2005,51,1.6091
Region 5,2005,51,1.89128
Region 6,2005,51,4.7602
Region 7,2005,51,0.734862
Region 8,2005,51,2.72766
Region 9,2005,51,7.41654
Region 10,2005,51,2.44196
National,2005,51,3.10878
Region 1,2005,52,1.34843
Region 2,2005,52,2.65204
Region 3,2005,52,3.628
Region 4,2005,52,2.00528
Region 5,2005,52,2.38892
Region 6,2005,52,5.99246
Region 7,2005,52,1.02388
Region 8,2005,52,2.80122
Region 9,2005,52,5.54295
Region 10,2005,52,2.50441
National,2005,52,3.28238
Region 1,2006,1,1.1264
Region 2,2006,1,2.03323
Region 3,2006,1,3.51003
Region 4,2006,1,1.82385
Region 5,2006,1,2.13342
Region 6,2006,1,5.06608
Region 7,2006,1,0.76612
Region 8,2006,1,1.86535
Region 9,2006,1,3.36911
Region 10,2006,1,2.40915
National,2006,1,2.62914
Region 1,2006,2,0.988789
Region 2,2006,2,2.19482
Region 3,2006,2,3.74162
Region 4,2006,2,1.58275
Region 5,2006,2,1.869
Region 6,2006,2,4.30729
Region 7,2006,2,1.06525
Region 8,2006,2,1.3588
Region 9,2006,2,2.04414
Region 10,2006,2,1.9761
National,2006,2,2.2515
Region 1,2006,3,0.99763
Region 2,2006,3,2.12789
Region 3,2006,3,3.66091
Region 4,2006,3,1.7222
Region 5,2006,3,1.86861
Region 6,2006,3,5.72341
Region 7,2006,3,1.40181
Region 8,2006,3,1.29458
Region 9,2006,3,1.92172
Region 10,2006,3,1.52117
National,2006,3,2.35858
Region 1,2006,4,1.22025
Region 2,2006,4,1.71696
Region 3,2006,4,3.53155
Region 4,2006,4,1.96753
Region 5,2006,4,2.06379
Region 6,2006,4,4.68854
Region 7,2006,4,1.92617
Region 8,2006,4,1.23921
Region 9,2006,4,2.37933
Region 10,2006,4,1.46682
National,2006,4,2.41881
Region 1,2006,5,1.54337
Region 2,2006,5,2.39529
Region 3,2006,5,2.73834
Region 4,2006,5,2.43534
Region 5,2006,5,2.12838
Region 6,2006,5,4.66312
Region 7,2006,5,2.1836
Region 8,2006,5,1.47217
Region 9,2006,5,2.20557
Region 10,2006,5,1.83032
National,2006,5,2.52752
Region 1,2006,6,1.67782
Region 2,2006,6,2.74465
Region 3,2006,6,3.7634
Region 4,2006,6,2.8106
Region 5,2006,6,2.42256
Region 6,2006,6,4.11305
Region 7,2006,6,2.48312
Region 8,2006,6,1.3951
Region 9,2006,6,1.73364
Region 10,2006,6,1.48979
National,2006,6,2.64954
Region 1,2006,7,2.11487
Region 2,2006,7,2.31608
Region 3,2006,7,3.90635
Region 4,2006,7,3.70953
Region 5,2006,7,2.72994
Region 6,2006,7,5.67923
Region 7,2006,7,2.36201
Region 8,2006,7,1.44956
Region 9,2006,7,2.28479
Region 10,2006,7,1.29383
National,2006,7,3.12935
Region 1,2006,8,2.1179
Region 2,2006,8,1.96094
Region 3,2006,8,4.52405
Region 4,2006,8,3.58811
Region 5,2006,8,3.06057
Region 6,2006,8,5.44283
Region 7,2006,8,2.58996
Region 8,2006,8,1.83983
Region 9,2006,8,1.73424
Region 10,2006,8,1.91435
National,2006,8,3.12442
Region 1,2006,9,2.22036
Region 2,2006,9,2.90233
Region 3,2006,9,4.27517
Region 4,2006,9,3.12122
Region 5,2006,9,3.27527
Region 6,2006,9,5.89019
Region 7,2006,9,2.08165
Region 8,2006,9,1.85287
Region 9,2006,9,1.48235
Region 10,2006,9,1.80536
National,2006,9,3.13099
Region 1,2006,10,2.25545
Region 2,2006,10,1.6056
Region 3,2006,10,6.25155
Region 4,2006,10,2.45896
Region 5,2006,10,3.44252
Region 6,2006,10,4.78492
Region 7,2006,10,1.53726
Region 8,2006,10,1.68746
Region 9,2006,10,2.24691
Region 10,2006,10,2.50726
National,2006,10,3.08261
Region 1,2006,11,2.00757
Region 2,2006,11,1.40432
Region 3,2006,11,5.2481
Region 4,2006,11,2.08766
Region 5,2006,11,3.07866
Region 6,2006,11,3.39459
Region 7,2006,11,1.13706
Region 8,2006,11,1.70361
Region 9,2006,11,2.44027
Region 10,2006,11,1.97489
National,2006,11,2.64431
Region 1,2006,12,1.7712
Region 2,2006,12,1.67743
Region 3,2006,12,4.24882
Region 4,2006,12,1.42455
Region 5,2006,12,2.59888
Region 6,2006,12,3.45402
Region 7,2006,12,1.23055
Region 8,2006,12,1.79455
Region 9,2006,12,2.81507
Region 10,2006,12,1.95414
National,2006,12,2.42295
Region 1,2006,13,1.54477
Region 2,2006,13,1.59813
Region 3,2006,13,4.21689
Region 4,2006,13,1.44835
Region 5,2006,13,2.73214
Region 6,2006,13,2.95335
Region 7,2006,13,0.947294
Region 8,2006,13,1.44283
Region 9,2006,13,2.56398
Region 10,2006,13,2.09137
National,2006,13,2.31141
Region 1,2006,14,1.47691
Region 2,2006,14,1.08944
Region 3,2006,14,2.51276
Region 4,2006,14,1.15752
Region 5,2006,14,1.7794
Region 6,2006,14,3.26771
Region 7,2006,14,0.527807
Region 8,2006,14,1.18745
Region 9,2006,14,2.33475
Region 10,2006,14,2.455
National,2006,14,1.86383
Region 1,2006,15,1.47145
Region 2,2006,15,1.35127
Region 3,2006,15,2.19476
Region 4,2006,15,0.809685
Region 5,2006,15,1.2596
Region 6,2006,15,2.29651
Region 7,2006,15,0.394165
Region 8,2006,15,0.917696
Region 9,2006,15,1.80795
Region 10,2006,15,1.50592
National,2006,15,1.44943
Region 1,2006,16,1.09617
Region 2,2006,16,1.50023
Region 3,2006,16,1.76066
Region 4,2006,16,0.742523
Region 5,2006,16,1.00907
Region 6,2006,16,2.28708
Region 7,2006,16,0.216154
Region 8,2006,16,0.548199
Region 9,2006,16,1.20457
Region 10,2006,16,3.2253
National,2006,16,1.30227
Region 1,2006,17,0.663809
Region 2,2006,17,1.47956
Region 3,2006,17,1.22325
Region 4,2006,17,0.758628
Region 5,2006,17,0.912241
Region 6,2006,17,1.96026
Region 7,2006,17,0.248481
Region 8,2006,17,0.579861
Region 9,2006,17,1.12029
Region 10,2006,17,2.48542
National,2006,17,1.13459
Region 1,2006,18,0.556419
Region 2,2006,18,1.36059
Region 3,2006,18,1.43987
Region 4,2006,18,0.721676
Region 5,2006,18,0.870772
Region 6,2006,18,1.49393
Region 7,2006,18,0.30485
Region 8,2006,18,0.570715
Region 9,2006,18,1.15062
Region 10,2006,18,2.19533
National,2006,18,1.06255
Region 1,2006,19,0.555115
Region 2,2006,19,1.19469
Region 3,2006,19,1.67623
Region 4,2006,19,0.773203
Region 5,2006,19,0.796405
Region 6,2006,19,1.82137
Region 7,2006,19,0.457317
Region 8,2006,19,0.251139
Region 9,2006,19,0.976429
Region 10,2006,19,1.16707
National,2006,19,1.03428
Region 1,2006,20,0.305411
Region 2,2006,20,0.951985
Region 3,2006,20,1.49125
Region 4,2006,20,0.761435
Region 5,2006,20,0.75964
Region 6,2006,20,2.1986
Region 7,2006,20,0.278904
Region 8,2006,20,0.480526
Region 9,2006,20,0.960785
Region 10,2006,20,1.23553
National,2006,20,1.01791
Region 1,2006,21,0.332538
Region 2,2006,21,1.22628
Region 3,2006,21,1.35608
Region 4,2006,21,0.641615
Region 5,2006,21,0.693704
Region 6,2006,21,1.65683
Region 7,2006,21,0.381481
Region 8,2006,21,0.267831
Region 9,2006,21,0.9439
Region 10,2006,21,0.863458
National,2006,21,0.918151
Region 1,2006,22,0.400552
Region 2,2006,22,1.15008
Region 3,2006,22,1.33666
Region 4,2006,22,0.702194
Region 5,2006,22,0.617758
Region 6,2006,22,2.62348
Region 7,2006,22,0.481864
Region 8,2006,22,0.17089
Region 9,2006,22,0.419285
Region 10,2006,22,1.13273
National,2006,22,0.93099
Region 1,2006,23,0.216022
Region 2,2006,23,0.438917
Region 3,2006,23,1.1192
Region 4,2006,23,0.65231
Region 5,2006,23,0.582768
Region 6,2006,23,2.10106
Region 7,2006,23,0.358687
Region 8,2006,23,0.875176
Region 9,2006,23,0.951546
Region 10,2006,23,1.1525
National,2006,23,0.857294
Region 1,2006,24,0.262875
Region 2,2006,24,0.987102
Region 3,2006,24,0.967472
Region 4,2006,24,0.607134
Region 5,2006,24,0.586273
Region 6,2006,24,1.45963
Region 7,2006,24,0.261155
Region 8,2006,24,0.264229
Region 9,2006,24,0.881633
Region 10,2006,24,1.02877
National,2006,24,0.786294
Region 1,2006,25,0.266647
Region 2,2006,25,0.887205
Region 3,2006,25,0.831022
Region 4,2006,25,0.49533
Region 5,2006,25,0.576081
Region 6,2006,25,1.39325
Region 7,2006,25,0.328518
Region 8,2006,25,0.318362
Region 9,2006,25,0.764563
Region 10,2006,25,1.03793
National,2006,25,0.719426
Region 1,2006,26,0.316539
Region 2,2006,26,0.303697
Region 3,2006,26,0.965491
Region 4,2006,26,0.429049
Region 5,2006,26,0.559139
Region 6,2006,26,1.4752
Region 7,2006,26,0.431782
Region 8,2006,26,0.151141
Region 9,2006,26,1.17716
Region 10,2006,26,0.606079
National,2006,26,0.718868
Region 1,2006,27,0.319046
Region 2,2006,27,0.770376
Region 3,2006,27,0.901009
Region 4,2006,27,0.405002
Region 5,2006,27,0.554649
Region 6,2006,27,1.68021
Region 7,2006,27,0.410144
Region 8,2006,27,0.353422
Region 9,2006,27,1.09269
Region 10,2006,27,0.809515
National,2006,27,0.774807
Region 1,2006,28,0.199702
Region 2,2006,28,0.704248
Region 3,2006,28,0.998054
Region 4,2006,28,0.499027
Region 5,2006,28,0.530915
Region 6,2006,28,1.3605
Region 7,2006,28,0.370004
Region 8,2006,28,1.36012
Region 9,2006,28,1.06301
Region 10,2006,28,0.683021
National,2006,28,0.76598
Region 1,2006,29,0.208761
Region 2,2006,29,0.248823
Region 3,2006,29,0.743892
Region 4,2006,29,0.487001
Region 5,2006,29,0.52203
Region 6,2006,29,1.18289
Region 7,2006,29,0.39005
Region 8,2006,29,1.69503
Region 9,2006,29,0.742706
Region 10,2006,29,0.950367
National,2006,29,0.642809
Region 1,2006,30,0.265558
Region 2,2006,30,0.254883
Region 3,2006,30,0.83233
Region 4,2006,30,0.465843
Region 5,2006,30,0.437213
Region 6,2006,30,1.1807
Region 7,2006,30,0.50481
Region 8,2006,30,1.39706
Region 9,2006,30,0.760282
Region 10,2006,30,0.623408
National,2006,30,0.622033
Region 1,2006,31,0.192714
Region 2,2006,31,0.294659
Region 3,2006,31,0.794438
Region 4,2006,31,0.399483
Region 5,2006,31,0.512717
Region 6,2006,31,1.26798
Region 7,2006,31,0.53303
Region 8,2006,31,2.06666
Region 9,2006,31,0.587025
Region 10,2006,31,0.52586
National,2006,31,0.616326
Region 1,2006,32,0.276121
Region 2,2006,32,0.509801
Region 3,2006,32,0.853636
Region 4,2006,32,0.363558
Region 5,2006,32,0.469947
Region 6,2006,32,1.461
Region 7,2006,32,0.389883
Region 8,2006,32,1.55577
Region 9,2006,32,0.829583
Region 10,2006,32,0.840352
National,2006,32,0.685694
Region 1,2006,33,0.190975
Region 2,2006,33,0.231723
Region 3,2006,33,0.712359
Region 4,2006,33,0.391607
Region 5,2006,33,0.557644
Region 6,2006,33,1.66641
Region 7,2006,33,0.325189
Region 8,2006,33,1.4965
Region 9,2006,33,0.4999
Region 10,2006,33,0.78513
National,2006,33,0.622697
Region 1,2006,34,0.185585
Region 2,2006,34,0.214516
Region 3,2006,34,0.853727
Region 4,2006,34,0.42031
Region 5,2006,34,0.501459
Region 6,2006,34,1.45148
Region 7,2006,34,0.342996
Region 8,2006,34,0.826035
Region 9,2006,34,0.623885
Region 10,2006,34,0.825166
National,2006,34,0.611817
Region 1,2006,35,0.223346
Region 2,2006,35,0.210855
Region 3,2006,35,1.05194
Region 4,2006,35,0.385663
Region 5,2006,35,0.552813
Region 6,2006,35,1.86538
Region 7,2006,35,0.405469
Region 8,2006,35,0.364606
Region 9,2006,35,0.376316
Region 10,2006,35,0.819876
National,2006,35,0.638831
Region 1,2006,36,0.14826
Region 2,2006,36,0.22569
Region 3,2006,36,1.17763
Region 4,2006,36,0.551586
Region 5,2006,36,0.678718
Region 6,2006,36,2.05942
Region 7,2006,36,0.520679
Region 8,2006,36,0.267931
Region 9,2006,36,0.870139
Region 10,2006,36,1.04471
National,2006,36,0.806627
Region 1,2006,37,0.272287
Region 2,2006,37,0.401737
Region 3,2006,37,1.04924
Region 4,2006,37,0.468642
Region 5,2006,37,0.679169
Region 6,2006,37,1.65387
Region 7,2006,37,0.308553
Region 8,2006,37,0.163323
Region 9,2006,37,1.01549
Region 10,2006,37,0.866707
National,2006,37,0.762448
Region 1,2006,38,0.124478
Region 2,2006,38,0.335445
Region 3,2006,38,1.13099
Region 4,2006,38,0.522436
Region 5,2006,38,0.733594
Region 6,2006,38,1.77529
Region 7,2006,38,0.327561
Region 8,2006,38,0.218011
Region 9,2006,38,1.19299
Region 10,2006,38,1.09592
National,2006,38,0.813406
Region 1,2006,39,0.391884
Region 2,2006,39,0.409044
Region 3,2006,39,0.860513
Region 4,2006,39,0.467279
Region 5,2006,39,0.558629
Region 6,2006,39,1.72223
Region 7,2006,39,0.478633
Region 8,2006,39,0.30966
Region 9,2006,39,1.22648
Region 10,2006,39,1.50605
National,2006,39,0.807934
Region 1,2006,40,0.402107
Region 2,2006,40,0.666153
Region 3,2006,40,2.30117
Region 4,2006,40,0.874174
Region 5,2006,40,1.05294
Region 6,2006,40,1.29969
Region 7,2006,40,0.413715
Region 8,2006,40,2.09462
Region 9,2006,40,1.3195
Region 10,2006,40,1.17248
National,2006,40,1.15384
Region 1,2006,41,0.371549
Region 2,2006,41,0.684899
Region 3,2006,41,1.99896
Region 4,2006,41,0.927592
Region 5,2006,41,1.12725
Region 6,2006,41,1.6574
Region 7,2006,41,0.405594
Region 8,2006,41,0.651354
Region 9,2006,41,1.42022
Region 10,2006,41,0.990866
National,2006,41,1.14819
Region 1,2006,42,0.553866
Region 2,2006,42,0.821216
Region 3,2006,42,2.10183
Region 4,2006,42,0.96637
Region 5,2006,42,1.19444
Region 6,2006,42,1.98234
Region 7,2006,42,0.57966
Region 8,2006,42,0.474206
Region 9,2006,42,1.38602
Region 10,2006,42,0.814375
National,2006,42,1.22736
Region 1,2006,43,0.507175
Region 2,2006,43,0.832293
Region 3,2006,43,2.06916
Region 4,2006,43,0.985017
Region 5,2006,43,1.22763
Region 6,2006,43,2.04055
Region 7,2006,43,0.60232
Region 8,2006,43,0.378489
Region 9,2006,43,1.2384
Region 10,2006,43,0.888848
National,2006,43,1.21744
Region 1,2006,44,0.680851
Region 2,2006,44,0.716796
Region 3,2006,44,2.00804
Region 4,2006,44,1.20553
Region 5,2006,44,1.17773
Region 6,2006,44,2.36278
Region 7,2006,44,0.670511
Region 8,2006,44,0.254771
Region 9,2006,44,1.51518
Region 10,2006,44,1.00129
National,2006,44,1.32813
Region 1,2006,45,0.531849
Region 2,2006,45,0.910751
Region 3,2006,45,1.77216
Region 4,2006,45,1.36565
Region 5,2006,45,1.29569
Region 6,2006,45,3.13319
Region 7,2006,45,0.624248
Region 8,2006,45,0.827005
Region 9,2006,45,1.46804
Region 10,2006,45,1.15597
National,2006,45,1.47754
Region 1,2006,46,0.598564
Region 2,2006,46,0.952837
Region 3,2006,46,2.12607
Region 4,2006,46,1.47086
Region 5,2006,46,1.37962
Region 6,2006,46,3.36411
Region 7,2006,46,0.765374
Region 8,2006,46,0.421794
Region 9,2006,46,1.33279
Region 10,2006,46,0.686028
National,2006,46,1.5339
Region 1,2006,47,0.771447
Region 2,2006,47,1.9852
Region 3,2006,47,2.56081
Region 4,2006,47,1.92834
Region 5,2006,47,1.43958
Region 6,2006,47,3.728
Region 7,2006,47,0.742449
Region 8,2006,47,0.53915
Region 9,2006,47,1.71623
Region 10,2006,47,1.32557
National,2006,47,1.91269
Region 1,2006,48,0.691579
Region 2,2006,48,2.21485
Region 3,2006,48,2.42082
Region 4,2006,48,1.85793
Region 5,2006,48,1.4741
Region 6,2006,48,3.27971
Region 7,2006,48,1.0881
Region 8,2006,48,0.608505
Region 9,2006,48,1.45311
Region 10,2006,48,1.45189
National,2006,48,1.838
Region 1,2006,49,0.869531
Region 2,2006,49,1.9284
Region 3,2006,49,2.58223
Region 4,2006,49,2.09986
Region 5,2006,49,1.59245
Region 6,2006,49,3.39292
Region 7,2006,49,1.25397
Region 8,2006,49,0.415035
Region 9,2006,49,1.63784
Region 10,2006,49,1.66026
National,2006,49,1.95376
Region 1,2006,50,1.06632
Region 2,2006,50,1.93705
Region 3,2006,50,2.67936
Region 4,2006,50,3.24123
Region 5,2006,50,1.73687
Region 6,2006,50,4.65279
Region 7,2006,50,1.5791
Region 8,2006,50,0.520031
Region 9,2006,50,1.75046
Region 10,2006,50,1.58178
National,2006,50,2.40407
Region 1,2006,51,0.964736
Region 2,2006,51,2.90958
Region 3,2006,51,3.05619
Region 4,2006,51,3.6552
Region 5,2006,51,2.17548
Region 6,2006,51,4.68878
Region 7,2006,51,2.31496
Region 8,2006,51,0.711545
Region 9,2006,51,2.61007
Region 10,2006,51,1.93395
National,2006,51,2.87453
Region 1,2006,52,1.5931
Region 2,2006,52,2.67177
Region 3,2006,52,3.69799
Region 4,2006,52,3.00834
Region 5,2006,52,2.66925
Region 6,2006,52,5.66906
Region 7,2006,52,2.7489
Region 8,2006,52,1.44753
Region 9,2006,52,2.47785
Region 10,2006,52,2.23245
National,2006,52,3.02597
Region 1,2007,1,1.35885
Region 2,2007,1,2.22255
Region 3,2007,1,2.63953
Region 4,2007,1,1.87541
Region 5,2007,1,2.39871
Region 6,2007,1,3.85813
Region 7,2007,1,2.11955
Region 8,2007,1,0.628118
Region 9,2007,1,2.81479
Region 10,2007,1,1.3554
National,2007,1,2.37817
Region 1,2007,2,1.07263
Region 2,2007,2,1.60496
Region 3,2007,2,2.09646
Region 4,2007,2,1.56334
Region 5,2007,2,1.97275
Region 6,2007,2,3.54881
Region 7,2007,2,1.52075
Region 8,2007,2,0.516237
Region 9,2007,2,2.69837
Region 10,2007,2,2.79942
National,2007,2,2.09232
Region 1,2007,3,1.35598
Region 2,2007,3,1.76245
Region 3,2007,3,2.08307
Region 4,2007,3,1.75994
Region 5,2007,3,2.15523
Region 6,2007,3,4.16998
Region 7,2007,3,1.62299
Region 8,2007,3,0.626519
Region 9,2007,3,2.70818
Region 10,2007,3,3.28908
National,2007,3,2.29396
Region 1,2007,4,0.93553
Region 2,2007,4,2.05257
Region 3,2007,4,2.50163
Region 4,2007,4,1.96314
Region 5,2007,4,2.42197
Region 6,2007,4,5.71282
Region 7,2007,4,2.14962
Region 8,2007,4,0.821672
Region 9,2007,4,3.40221
Region 10,2007,4,3.16776
National,2007,4,2.74501
Region 1,2007,5,1.29455
Region 2,2007,5,1.94244
Region 3,2007,5,2.38504
Region 4,2007,5,2.16127
Region 5,2007,5,3.21376
Region 6,2007,5,5.67757
Region 7,2007,5,2.83402
Region 8,2007,5,1.40699
Region 9,2007,5,3.89409
Region 10,2007,5,3.3061
National,2007,5,3.04434
Region 1,2007,6,1.70886
Region 2,2007,6,2.08747
Region 3,2007,6,2.66325
Region 4,2007,6,2.65717
Region 5,2007,6,3.22326
Region 6,2007,6,7.26662
Region 7,2007,6,2.6656
Region 8,2007,6,1.21489
Region 9,2007,6,4.23922
Region 10,2007,6,4.95601
National,2007,6,3.49999
Region 1,2007,7,1.80821
Region 2,2007,7,2.29195
Region 3,2007,7,2.70936
Region 4,2007,7,2.66486
Region 5,2007,7,3.35463
Region 6,2007,7,7.56285
Region 7,2007,7,2.52187
Region 8,2007,7,1.69494
Region 9,2007,7,3.56722
Region 10,2007,7,7.0222
National,2007,7,3.57851
Region 1,2007,8,1.78855
Region 2,2007,8,2.14658
Region 3,2007,8,2.48248
Region 4,2007,8,2.73488
Region 5,2007,8,3.19893
Region 6,2007,8,7.29035
Region 7,2007,8,2.60981
Region 8,2007,8,1.6064
Region 9,2007,8,3.08952
Region 10,2007,8,3.73482
National,2007,8,3.28979
Region 1,2007,9,1.66031
Region 2,2007,9,1.90272
Region 3,2007,9,2.60062
Region 4,2007,9,2.22716
Region 5,2007,9,2.91564
Region 6,2007,9,6.14836
Region 7,2007,9,1.69268
Region 8,2007,9,1.5992
Region 9,2007,9,2.63474
Region 10,2007,9,4.14204
National,2007,9,2.89149
Region 1,2007,10,1.43936
Region 2,2007,10,2.10377
Region 3,2007,10,2.81957
Region 4,2007,10,2.12449
Region 5,2007,10,2.68713
Region 6,2007,10,5.0833
Region 7,2007,10,1.35017
Region 8,2007,10,1.32999
Region 9,2007,10,2.60694
Region 10,2007,10,2.08579
National,2007,10,2.62075
Region 1,2007,11,2.00442
Region 2,2007,11,2.51107
Region 3,2007,11,2.79384
Region 4,2007,11,1.85269
Region 5,2007,11,2.76833
Region 6,2007,11,4.45923
Region 7,2007,11,1.43639
Region 8,2007,11,1.50656
Region 9,2007,11,2.12876
Region 10,2007,11,2.76371
National,2007,11,2.53387
Region 1,2007,12,1.5568
Region 2,2007,12,1.98271
Region 3,2007,12,2.33845
Region 4,2007,12,1.39411
Region 5,2007,12,2.68279
Region 6,2007,12,3.04201
Region 7,2007,12,0.861384
Region 8,2007,12,1.19803
Region 9,2007,12,1.85501
Region 10,2007,12,2.93038
National,2007,12,2.07251
Region 1,2007,13,1.55956
Region 2,2007,13,1.90232
Region 3,2007,13,2.51286
Region 4,2007,13,1.06471
Region 5,2007,13,1.74293
Region 6,2007,13,2.6156
Region 7,2007,13,0.790973
Region 8,2007,13,0.87212
Region 9,2007,13,1.63633
Region 10,2007,13,5.7751
National,2007,13,1.87084
Region 1,2007,14,1.28254
Region 2,2007,14,1.78393
Region 3,2007,14,2.14874
Region 4,2007,14,0.826052
Region 5,2007,14,1.3489
Region 6,2007,14,2.58951
Region 7,2007,14,0.677013
Region 8,2007,14,0.84805
Region 9,2007,14,1.14133
Region 10,2007,14,0.574248
National,2007,14,1.40042
Region 1,2007,15,1.08734
Region 2,2007,15,1.36359
Region 3,2007,15,1.94874
Region 4,2007,15,0.925107
Region 5,2007,15,1.26974
Region 6,2007,15,3.02539
Region 7,2007,15,0.661974
Region 8,2007,15,0.460148
Region 9,2007,15,1.75637
Region 10,2007,15,0.518378
National,2007,15,1.46887
Region 1,2007,16,0.944558
Region 2,2007,16,0.99106
Region 3,2007,16,1.58043
Region 4,2007,16,0.789355
Region 5,2007,16,1.11921
Region 6,2007,16,2.1424
Region 7,2007,16,0.605115
Region 8,2007,16,0.516783
Region 9,2007,16,1.21682
Region 10,2007,16,0.671878
National,2007,16,1.15514
Region 1,2007,17,0.627157
Region 2,2007,17,0.849223
Region 3,2007,17,1.44313
Region 4,2007,17,0.715101
Region 5,2007,17,1.06038
Region 6,2007,17,2.21712
Region 7,2007,17,0.495269
Region 8,2007,17,0.271
Region 9,2007,17,1.1378
Region 10,2007,17,0.839337
National,2007,17,1.07901
Region 1,2007,18,0.573971
Region 2,2007,18,0.793414
Region 3,2007,18,1.28227
Region 4,2007,18,0.703601
Region 5,2007,18,0.905078
Region 6,2007,18,1.94261
Region 7,2007,18,0.353551
Region 8,2007,18,0.267124
Region 9,2007,18,1.2138
Region 10,2007,18,0.495933
National,2007,18,0.98492
Region 1,2007,19,0.427937
Region 2,2007,19,0.601217
Region 3,2007,19,2.13132
Region 4,2007,19,0.612087
Region 5,2007,19,0.826919
Region 6,2007,19,2.0261
Region 7,2007,19,0.37414
Region 8,2007,19,0.246713
Region 9,2007,19,1.17293
Region 10,2007,19,0.988979
National,2007,19,1.03325
Region 1,2007,20,0.209288
Region 2,2007,20,0.765653
Region 3,2007,20,1.62538
Region 4,2007,20,0.468318
Region 5,2007,20,0.83076
Region 6,2007,20,1.92852
Region 7,2007,20,0.31949
Region 8,2007,20,0.182939
Region 9,2007,20,1.1014
Region 10,2007,20,0.772773
National,2007,20,0.926649
Region 1,2007,21,0.202561
Region 2,2007,21,0.913687
Region 3,2007,21,1.86566
Region 4,2007,21,0.438779
Region 5,2007,21,0.805393
Region 6,2007,21,1.69418
Region 7,2007,21,0.222457
Region 8,2007,21,0.19667
Region 9,2007,21,0.981442
Region 10,2007,21,1.20603
National,2007,21,0.9201
Region 1,2007,22,0.373541
Region 2,2007,22,0.820709
Region 3,2007,22,1.64576
Region 4,2007,22,0.532306
Region 5,2007,22,0.853646
Region 6,2007,22,1.80459
Region 7,2007,22,0.281402
Region 8,2007,22,0.247199
Region 9,2007,22,1.06315
Region 10,2007,22,1.17504
National,2007,22,0.954094
Region 1,2007,23,0.36067
Region 2,2007,23,0.655688
Region 3,2007,23,1.20051
Region 4,2007,23,0.376268
Region 5,2007,23,0.63254
Region 6,2007,23,1.5548
Region 7,2007,23,0.204738
Region 8,2007,23,0.191172
Region 9,2007,23,1.02794
Region 10,2007,23,0.617675
National,2007,23,0.763278
Region 1,2007,24,0.392083
Region 2,2007,24,0.745838
Region 3,2007,24,1.77727
Region 4,2007,24,0.358176
Region 5,2007,24,0.496954
Region 6,2007,24,1.5625
Region 7,2007,24,0.158138
Region 8,2007,24,0.244388
Region 9,2007,24,1.15007
Region 10,2007,24,0.529879
National,2007,24,0.81722
Region 1,2007,25,0.55816
Region 2,2007,25,0.715429
Region 3,2007,25,1.42672
Region 4,2007,25,0.31435
Region 5,2007,25,0.570812
Region 6,2007,25,1.33389
Region 7,2007,25,0.206177
Region 8,2007,25,0.186104
Region 9,2007,25,1.08381
Region 10,2007,25,0.750337
National,2007,25,0.764586
Region 1,2007,26,0.412046
Region 2,2007,26,0.502421
Region 3,2007,26,1.39829
Region 4,2007,26,0.349554
Region 5,2007,26,0.715134
Region 6,2007,26,1.71027
Region 7,2007,26,0.253885
Region 8,2007,26,0.16642
Region 9,2007,26,1.04342
Region 10,2007,26,0.40702
National,2007,26,0.793127
Region 1,2007,27,0.556126
Region 2,2007,27,0.656944
Region 3,2007,27,1.44536
Region 4,2007,27,0.324266
Region 5,2007,27,0.479501
Region 6,2007,27,1.3411
Region 7,2007,27,0.31938
Region 8,2007,27,0.190863
Region 9,2007,27,0.5321
Region 10,2007,27,0.782192
National,2007,27,0.66909
Region 1,2007,28,0.760775
Region 2,2007,28,0.332893
Region 3,2007,28,1.94416
Region 4,2007,28,0.372762
Region 5,2007,28,0.436661
Region 6,2007,28,1.06314
Region 7,2007,28,0.201085
Region 8,2007,28,0.187384
Region 9,2007,28,0.336791
Region 10,2007,28,0.595456
National,2007,28,0.62115
Region 1,2007,29,0.417173
Region 2,2007,29,0.380775
Region 3,2007,29,1.12422
Region 4,2007,29,0.317525
Region 5,2007,29,0.479371
Region 6,2007,29,1.45692
Region 7,2007,29,0.281243
Region 8,2007,29,0.176037
Region 9,2007,29,0.516272
Region 10,2007,29,0.538268
National,2007,29,0.603659
Region 1,2007,30,0.1696
Region 2,2007,30,0.413685
Region 3,2007,30,1.40161
Region 4,2007,30,0.391323
Region 5,2007,30,0.438966
Region 6,2007,30,1.52036
Region 7,2007,30,0.251613
Region 8,2007,30,0.206305
